fecha,anio,mes_num,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia
2015-01-01,2015,1,AMAZONAS,322.0,39,3,37
2015-01-01,2015,1,ANTIOQUIA,9358.416,297,50,99
2015-01-01,2015,1,ARAUCA,16.0,8,3,8
2015-01-01,2015,1,ATLANTICO,3024.0,105,11,68
2015-01-01,2015,1,BOGOTA D.C.,12633.006,139,1,139
2015-01-01,2015,1,BOLIVAR,7012.974,150,25,102
2015-01-01,2015,1,BOYACA,280.0,87,19,29
2015-01-01,2015,1,CALDAS,653.0,90,17,48
2015-01-01,2015,1,CAQUETA,16.0,11,2,10
2015-01-01,2015,1,CASANARE,44.0,22,4,17
2015-01-01,2015,1,CAUCA,288.0,52,12,35
2015-01-01,2015,1,CESAR,155.0,38,7,27
2015-01-01,2015,1,CHOCO,149.0,39,9,26
2015-01-01,2015,1,CORDOBA,166.0,55,13,30
2015-01-01,2015,1,CUNDINAMARCA,727.0,267,55,49
2015-01-01,2015,1,GUAINIA,3.0,2,1,2
2015-01-01,2015,1,GUAVIARE,3.0,1,1,1
2015-01-01,2015,1,HUILA,210.0,53,10,29
2015-01-01,2015,1,LA GUAJIRA,136.0,58,8,31
2015-01-01,2015,1,MAGDALENA,2147.0,83,9,56
2015-01-01,2015,1,META,284.0,61,11,35
2015-01-01,2015,1,NARINO,1376.0,96,18,46
2015-01-01,2015,1,NORTE DE SANTANDER,1806.0,82,13,53
2015-01-01,2015,1,PUTUMAYO,57.0,23,8,15
2015-01-01,2015,1,QUINDIO,578.0,75,9,41
2015-01-01,2015,1,RISARALDA,1302.0,100,9,56
2015-01-01,2015,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3784.024,59,2,43
2015-01-01,2015,1,SANTANDER,1275.0,150,19,57
2015-01-01,2015,1,SIN ESPECIFICAR,24.0,10,1,10
2015-01-01,2015,1,SUCRE,89.0,38,7,22
2015-01-01,2015,1,TOLIMA,390.0,70,19,39
2015-01-01,2015,1,VALLE DEL CAUCA,7443.816,374,36,92
2015-01-01,2015,1,VICHADA,16.0,8,1,8
2015-02-01,2015,2,AMAZONAS,260.0,37,2,34
2015-02-01,2015,2,ANTIOQUIA,7932.611,251,46,97
2015-02-01,2015,2,ARAUCA,13.0,10,5,9
2015-02-01,2015,2,ATLANTICO,2700.923,109,11,77
2015-02-01,2015,2,BOGOTA D.C.,11722.713,147,1,147
2015-02-01,2015,2,BOLIVAR,7429.834,141,17,94
2015-02-01,2015,2,BOYACA,314.0,97,27,31
2015-02-01,2015,2,CALDAS,571.0,69,18,35
2015-02-01,2015,2,CAQUETA,25.0,12,6,8
2015-02-01,2015,2,CASANARE,55.0,23,6,18
2015-02-01,2015,2,CAUCA,243.0,43,11,27
2015-02-01,2015,2,CESAR,101.0,28,7,19
2015-02-01,2015,2,CHOCO,179.0,37,6,31
2015-02-01,2015,2,CORDOBA,107.0,45,13,25
2015-02-01,2015,2,CUNDINAMARCA,508.0,211,42,44
2015-02-01,2015,2,GUAINIA,7.0,5,2,5
2015-02-01,2015,2,GUAVIARE,1.0,1,1,1
2015-02-01,2015,2,HUILA,167.0,52,11,27
2015-02-01,2015,2,LA GUAJIRA,123.0,50,10,25
2015-02-01,2015,2,MAGDALENA,2664.0,92,13,51
2015-02-01,2015,2,META,213.0,48,8,31
2015-02-01,2015,2,NARINO,1212.0,94,16,42
