anio,departamento,prestadores_activos,rnt_municipios,categorias_rnt,capacidad_habitaciones,capacidad_camas,empleo_reportado_rnt
2019,AMAZONAS,262,3,9,1296.0,3102.0,819.0
2019,ANTIOQUIA,5611,112,16,49157.0,80378.0,24131.0
2019,ARAUCA,87,7,6,1183.0,1679.0,300.0
2019,ATLANTICO,773,17,13,11592.0,16200.0,8789.0
2019,BOGOTA D.C.,5219,7,15,32037.0,47151.0,39823.0
2019,BOLIVAR,5010,19,13,25549.0,45526.0,20950.0
2019,BOYACA,1698,89,14,14792.0,26405.0,3839.0
2019,CALDAS,958,27,12,7738.0,14815.0,3486.0
2019,CAQUETA,207,10,11,2202.0,2824.0,642.0
2019,CASANARE,536,16,11,7515.0,10280.0,1362.0
2019,CAUCA,374,22,11,3817.0,5638.0,1939.0
2019,CESAR,394,20,11,6371.0,9658.0,1530.0
2019,CHOCO,338,12,6,3342.0,5721.0,873.0
2019,CORDOBA,375,21,12,5795.0,8828.0,1882.0
2019,CUNDINAMARCA,2403,103,15,21011.0,39655.0,8545.0
2019,GUAINIA,31,1,3,215.0,304.0,58.0
2019,GUAVIARE,50,1,7,427.0,608.0,187.0
2019,HUILA,870,32,12,7704.0,12552.0,2532.0
2019,LA GUAJIRA,558,11,12,5032.0,9138.0,1637.0
2019,MAGDALENA,3421,15,12,18385.0,37954.0,9134.0
2019,META,1274,27,12,15135.0,24786.0,4592.0
2019,NARINO,731,26,11,10013.0,14339.0,2725.0
2019,NORTE DE SANTANDER,827,23,12,9096.0,13542.0,2109.0
2019,PUTUMAYO,299,11,8,3513.0,4254.0,786.0
2019,QUINDIO,1987,12,12,13250.0,27073.0,5363.0
2019,RISARALDA,1018,14,14,7683.0,14078.0,4174.0
2019,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1539,2,11,8777.0,18449.0,6348.0
2019,SANTANDER,2013,69,14,20260.0,32827.0,6966.0
2019,SUCRE,561,14,7,6807.0,16510.0,1487.0
2019,TOLIMA,1276,43,13,15003.0,28118.0,4824.0
2019,VALLE DEL CAUCA,2434,40,14,22636.0,36534.0,12979.0
2019,VAUPES,10,1,3,91.0,106.0,22.0
2019,VICHADA,65,4,4,597.0,764.0,166.0
2020,AMAZONAS,241,2,9,1211.0,2718.0,717.0
2020,ANTIOQUIA,5559,111,16,49603.0,80643.0,25819.0
2020,ARAUCA,68,5,6,952.0,1377.0,255.0
2020,ATLANTICO,692,17,14,10554.0,14710.0,7267.0
2020,BOGOTA D.C.,4508,7,16,29843.0,42412.0,37459.0
2020,BOLIVAR,4716,18,14,24948.0,44411.0,21077.0
2020,BOYACA,1558,91,15,13940.0,24592.0,3287.0
2020,CALDAS,939,27,13,7547.0,14328.0,4528.0
2020,CAQUETA,186,11,11,2048.0,2643.0,634.0
2020,CASANARE,503,14,11,7081.0,9754.0,1519.0
2020,CAUCA,357,24,13,3701.0,5609.0,1787.0
2020,CESAR,367,21,11,6104.0,9402.0,1597.0
2020,CHOCO,311,15,7,3007.0,5280.0,790.0
2020,CORDOBA,378,21,11,5512.0,8575.0,1384.0
2020,CUNDINAMARCA,2655,104,14,22605.0,41495.0,10256.0
2020,GUAINIA,36,2,3,215.0,294.0,39.0
2020,GUAVIARE,72,1,8,498.0,776.0,230.0
2020,HUILA,881,34,12,7844.0,12790.0,2341.0
2020,LA GUAJIRA,534,12,12,5075.0,9119.0,1757.0
2020,MAGDALENA,3181,15,12,16910.0,35209.0,16721.0
2020,META,1268,29,13,15179.0,24666.0,4078.0
2020,NARINO,672,23,11,9418.0,13445.0,3172.0
2020,NORTE DE SANTANDER,716,25,12,8903.0,13312.0,2248.0
2020,PUTUMAYO,313,13,8,3469.0,4155.0,905.0
2020,QUINDIO,1942,12,12,12960.0,26268.0,7157.0
2020,RISARALDA,1020,14,13,7721.0,14100.0,4001.0
2020,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1365,2,11,8277.0,17370.0,8829.0
2020,SANTANDER,2008,67,14,20047.0,31815.0,6862.0
2020,SUCRE,639,14,6,7204.0,17026.0,1856.0
2020,TOLIMA,1332,43,13,15020.0,27646.0,5560.0
2020,VALLE DEL CAUCA,2194,38,14,21880.0,34292.0,12579.0
2020,VAUPES,14,1,3,164.0,199.0,21.0
2020,VICHADA,69,4,5,577.0,792.0,159.0
2021,AMAZONAS,265,3,8,1317.0,2871.0,599.0
2021,ANTIOQUIA,8372,115,18,59610.0,92860.0,28217.0
2021,ARAUCA,104,7,8,1052.0,1531.0,268.0
2021,ATLANTICO,1156,19,17,12017.0,17015.0,7350.0
2021,BOGOTA D.C.,5988,7,18,32317.0,45379.0,26437.0
2021,BOLIVAR,5978,22,17,27218.0,47730.0,17210.0
2021,BOYACA,2115,98,16,15660.0,26801.0,3824.0
2021,CALDAS,1268,27,13,8718.0,15970.0,3793.0
2021,CAQUETA,245,11,11,2201.0,2832.0,628.0
2021,CASANARE,548,16,12,7497.0,10043.0,1439.0
2021,CAUCA,425,28,13,3770.0,5634.0,2471.0
2021,CESAR,405,22,13,6392.0,9717.0,1422.0
2021,CHOCO,348,15,7,3239.0,5606.0,851.0
2021,CORDOBA,501,21,13,6177.0,9586.0,1635.0
2021,CUNDINAMARCA,3815,108,15,26230.0,48014.0,9414.0
2021,GUAINIA,49,1,7,220.0,308.0,59.0
2021,GUAVIARE,112,2,9,716.0,1120.0,273.0
2021,HUILA,1092,36,13,8444.0,13420.0,5030.0
2021,LA GUAJIRA,633,11,12,5666.0,10158.0,1797.0
2021,MAGDALENA,4083,15,13,19251.0,38342.0,10423.0
2021,META,1567,29,15,16080.0,26033.0,5090.0
2021,NARINO,850,31,15,10495.0,14991.0,3854.0
2021,NORTE DE SANTANDER,886,25,14,10164.0,14861.0,2842.0
2021,PUTUMAYO,368,12,8,3788.0,4550.0,996.0
2021,QUINDIO,2209,12,13,13644.0,26848.0,7292.0
2021,RISARALDA,1279,14,15,8237.0,14562.0,3693.0
2021,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1636,2,13,8913.0,17675.0,7460.0
2021,SANTANDER,2505,73,15,21754.0,34707.0,8185.0
2021,SUCRE,743,17,7,7547.0,17802.0,1911.0
2021,TOLIMA,1764,43,13,16256.0,30087.0,5407.0
2021,VALLE DEL CAUCA,2877,39,16,23515.0,37346.0,11671.0
2021,VAUPES,20,2,4,179.0,234.0,56.0
2021,VICHADA,73,4,6,601.0,829.0,147.0
2022,AMAZONAS,364,4,9,1596.0,3396.0,933.0
2022,ANTIOQUIA,14347,120,19,81481.0,136035.0,39767.0
2022,ARAUCA,95,6,8,999.0,1442.0,179.0
2022,ATLANTICO,1864,18,18,14884.0,22481.0,8743.0
2022,BOGOTA D.C.,9885,7,19,46905.0,69715.0,41925.0
2022,BOLIVAR,8235,25,19,36996.0,65908.0,23398.0
2022,BOYACA,3145,103,16,19345.0,34290.0,4441.0
2022,CALDAS,1704,27,13,10426.0,19334.0,4384.0
2022,CAQUETA,283,13,11,2402.0,3178.0,553.0
2022,CASANARE,653,16,13,7748.0,10748.0,1252.0
2022,CAUCA,515,29,13,4014.0,6065.0,1625.0
2022,CESAR,630,21,14,7440.0,11491.0,1842.0
2022,CHOCO,399,17,8,3535.0,6017.0,725.0
2022,CORDOBA,737,23,14,7457.0,12108.0,2145.0
2022,CUNDINAMARCA,6198,108,19,35478.0,66985.0,12181.0
2022,GUAINIA,59,1,8,270.0,390.0,65.0
2022,GUAVIARE,153,3,9,840.0,1417.0,341.0
2022,HUILA,1510,37,15,9989.0,16229.0,26294.0
2022,LA GUAJIRA,947,13,14,7154.0,13390.0,2575.0
2022,MAGDALENA,6115,15,15,27735.0,54829.0,12453.0
2022,META,2125,29,14,17989.0,29691.0,4410.0
2022,NARINO,1173,37,15,11640.0,17656.0,2521.0
2022,NORTE DE SANTANDER,1176,30,16,11030.0,16587.0,3033.0
2022,PUTUMAYO,415,13,10,3910.0,4719.0,581.0
2022,QUINDIO,3158,12,14,16920.0,33437.0,6519.0
2022,RISARALDA,2148,14,15,11103.0,20243.0,4251.0
2022,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",1912,2,15,10352.0,21942.0,10560.0
2022,SANTANDER,3546,75,16,25609.0,41800.0,5739.0
2022,SUCRE,984,21,8,8684.0,20995.0,2071.0
2022,TOLIMA,2773,44,14,21547.0,38050.0,4749.0
2022,VALLE DEL CAUCA,5090,41,16,31394.0,52078.0,14536.0
2022,VAUPES,31,2,5,221.0,289.0,40.0
2022,VICHADA,70,4,7,577.0,794.0,76.0
2023,AMAZONAS,439,4,9,1839.0,4302.0,1452.0
2023,ANTIOQUIA,20817,121,18,88846.0,177499.0,54588.0
2023,ARAUCA,129,6,6,1362.0,1940.0,262.0
2023,ATLANTICO,2307,17,17,14461.0,25546.0,10313.0
2023,BOGOTA D.C.,12147,7,18,44490.0,70907.0,43002.0
2023,BOLIVAR,9354,26,19,35172.0,73952.0,29387.0
2023,BOYACA,3527,107,14,18878.0,39238.0,6736.0
2023,CALDAS,2056,27,14,10618.0,21988.0,4685.0
2023,CAQUETA,337,13,12,2541.0,3419.0,800.0
2023,CASANARE,733,17,11,7959.0,11719.0,1444.0
2023,CAUCA,597,28,13,4166.0,6905.0,1642.0
2023,CESAR,666,22,14,7477.0,11885.0,1936.0
2023,CHOCO,493,20,6,4029.0,7232.0,844.0
2023,CORDOBA,850,26,12,7470.0,14024.0,2901.0
2023,CUNDINAMARCA,7132,110,15,34088.0,80697.0,15085.0
2023,GUAINIA,75,1,7,333.0,683.0,86.0
2023,GUAVIARE,193,3,9,912.0,1660.0,242.0
