fecha,anio,mes_num,departamento,municipio,pasajeros_aereos_nacionales
2012-01-01,2012,1,AMAZONAS,LA CHORRERA,34
2012-01-01,2012,1,AMAZONAS,La Pedrera,98
2012-01-01,2012,1,AMAZONAS,Leticia,7002
2012-01-01,2012,1,AMAZONAS,Tarapacá,102
2012-01-01,2012,1,ANTIOQUIA,Carepa,6867
2012-01-01,2012,1,ANTIOQUIA,Caucasia,857
2012-01-01,2012,1,ANTIOQUIA,El Bagre,368
2012-01-01,2012,1,ANTIOQUIA,Medellín,40467
2012-01-01,2012,1,ANTIOQUIA,Remedios,381
2012-01-01,2012,1,ANTIOQUIA,Rionegro,109187
2012-01-01,2012,1,ARAUCA,Arauca,4550
2012-01-01,2012,1,ARAUCA,Tame,169
2012-01-01,2012,1,ATLANTICO,Barranquilla,58333
2012-01-01,2012,1,BOGOTA D.C.,"Bogotá, D.C.",536767
2012-01-01,2012,1,BOLIVAR,Cartagena,86863
2012-01-01,2012,1,CALDAS,Manizales,8595
2012-01-01,2012,1,CAQUETA,Florencia,2210
2012-01-01,2012,1,CAQUETA,San Vicente del Caguán,84
2012-01-01,2012,1,CAQUETA,Solano,0
2012-01-01,2012,1,CASANARE,Paz de Ariporo,17
2012-01-01,2012,1,CASANARE,Yopal,13950
2012-01-01,2012,1,CAUCA,Guapi,689
2012-01-01,2012,1,CAUCA,Popayán,3091
2012-01-01,2012,1,CESAR,Valledupar,10915
2012-01-01,2012,1,CHOCO,Acandí,516
2012-01-01,2012,1,CHOCO,Bahía Solano,1157
2012-01-01,2012,1,CHOCO,Condoto,239
2012-01-01,2012,1,CHOCO,Nuquí,463
2012-01-01,2012,1,CHOCO,Quibdó,9640
2012-01-01,2012,1,CORDOBA,Montería,23770
2012-01-01,2012,1,GUAINIA,Barranco Minas,0
2012-01-01,2012,1,GUAINIA,Inírida,1165
2012-01-01,2012,1,GUAVIARE,Miraflores,95
2012-01-01,2012,1,GUAVIARE,San José del Guaviare,670
2012-01-01,2012,1,HUILA,Neiva,10471
2012-01-01,2012,1,LA GUAJIRA,Maicao,2909
2012-01-01,2012,1,LA GUAJIRA,Riohacha,3064
2012-01-01,2012,1,LA GUAJIRA,Uribia,909
2012-01-01,2012,1,MAGDALENA,Santa Marta,45044
2012-01-01,2012,1,META,La Macarena,59
2012-01-01,2012,1,META,Villavicencio,2921
2012-01-01,2012,1,NARINO,Ipiales,316
2012-01-01,2012,1,NARINO,Pasto,8714
2012-01-01,2012,1,NARINO,San Andres de Tumaco,2547
2012-01-01,2012,1,NORTE DE SANTANDER,Cúcuta,38166
2012-01-01,2012,1,PUTUMAYO,Puerto Asís,1399
2012-01-01,2012,1,PUTUMAYO,Puerto Leguízamo,255
2012-01-01,2012,1,PUTUMAYO,Villagarzón,482
2012-01-01,2012,1,QUINDIO,Armenia,11756
2012-01-01,2012,1,RISARALDA,Pereira,26510
2012-01-01,2012,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,897
2012-01-01,2012,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,35473
2012-01-01,2012,1,SANTANDER,Barrancabermeja,6872
2012-01-01,2012,1,SANTANDER,Bucaramanga,46219
2012-01-01,2012,1,SIN ESPECIFICAR,Sin Especificar,0
2012-01-01,2012,1,SUCRE,Corozal,1708
2012-01-01,2012,1,SUCRE,Santiago de Tolú,369
2012-01-01,2012,1,TOLIMA,Ibagué,5532
2012-01-01,2012,1,VALLE DEL CAUCA,Buenaventura,368
2012-01-01,2012,1,VALLE DEL CAUCA,Cali,90308
2012-01-01,2012,1,VAUPES,Caruru,74
2012-01-01,2012,1,VAUPES,Mitú,1192
2012-01-01,2012,1,VAUPES,Taraira,27
2012-01-01,2012,1,VICHADA,Cumaribo,421
2012-01-01,2012,1,VICHADA,La Primavera,0
2012-01-01,2012,1,VICHADA,Puerto Carreño,1364
2012-02-01,2012,2,AMAZONAS,LA CHORRERA,13
2012-02-01,2012,2,AMAZONAS,La Pedrera,131
2012-02-01,2012,2,AMAZONAS,Leticia,5836
2012-02-01,2012,2,AMAZONAS,Tarapacá,96
2012-02-01,2012,2,ANTIOQUIA,Carepa,6807
2012-02-01,2012,2,ANTIOQUIA,Caucasia,1195
2012-02-01,2012,2,ANTIOQUIA,El Bagre,385
2012-02-01,2012,2,ANTIOQUIA,Medellín,33579
2012-02-01,2012,2,ANTIOQUIA,Remedios,412
2012-02-01,2012,2,ANTIOQUIA,Rionegro,109391
2012-02-01,2012,2,ARAUCA,Arauca,4084
2012-02-01,2012,2,ARAUCA,Tame,156
2012-02-01,2012,2,ATLANTICO,Barranquilla,57422
2012-02-01,2012,2,BOGOTA D.C.,"Bogotá, D.C.",445473
2012-02-01,2012,2,BOLIVAR,Calamar,0
2012-02-01,2012,2,BOLIVAR,Cartagena,73032
2012-02-01,2012,2,CALDAS,Manizales,8881
2012-02-01,2012,2,CAQUETA,Florencia,2686
2012-02-01,2012,2,CAQUETA,San Vicente del Caguán,109
2012-02-01,2012,2,CAQUETA,Solano,0
2012-02-01,2012,2,CASANARE,Paz de Ariporo,1
2012-02-01,2012,2,CASANARE,Yopal,14409
2012-02-01,2012,2,CAUCA,Guapi,671
2012-02-01,2012,2,CAUCA,Popayán,3003
2012-02-01,2012,2,CESAR,Valledupar,10239
2012-02-01,2012,2,CHOCO,Acandí,368
2012-02-01,2012,2,CHOCO,Bahía Solano,533
2012-02-01,2012,2,CHOCO,Condoto,121
2012-02-01,2012,2,CHOCO,Nuquí,325
2012-02-01,2012,2,CHOCO,Quibdó,8574
2012-02-01,2012,2,CORDOBA,Montería,21096
2012-02-01,2012,2,GUAINIA,Barranco Minas,2
2012-02-01,2012,2,GUAINIA,Inírida,1054
2012-02-01,2012,2,GUAVIARE,Miraflores,132
2012-02-01,2012,2,GUAVIARE,San José del Guaviare,808
2012-02-01,2012,2,HUILA,Neiva,11428
2012-02-01,2012,2,LA GUAJIRA,Maicao,2569
2012-02-01,2012,2,LA GUAJIRA,Riohacha,3206
2012-02-01,2012,2,LA GUAJIRA,Uribia,860
2012-02-01,2012,2,MAGDALENA,Santa Marta,36241
2012-02-01,2012,2,META,La Macarena,32
2012-02-01,2012,2,META,Villavicencio,2822
2012-02-01,2012,2,NARINO,Ipiales,340
2012-02-01,2012,2,NARINO,Pasto,8559
2012-02-01,2012,2,NARINO,San Andres de Tumaco,2337
2012-02-01,2012,2,NORTE DE SANTANDER,Cúcuta,29647
2012-02-01,2012,2,PUTUMAYO,Puerto Asís,1624
2012-02-01,2012,2,PUTUMAYO,Puerto Leguízamo,245
2012-02-01,2012,2,PUTUMAYO,Villagarzón,422
2012-02-01,2012,2,QUINDIO,Armenia,10876
2012-02-01,2012,2,RISARALDA,Pereira,27468
2012-02-01,2012,2,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",Providencia,747
2012-02-01,2012,2,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",San Andrés,27122
2012-02-01,2012,2,SANTANDER,Barrancabermeja,7766
2012-02-01,2012,2,SANTANDER,Bucaramanga,46199
2012-02-01,2012,2,SIN ESPECIFICAR,Sin Especificar,0
2012-02-01,2012,2,SUCRE,Corozal,1225
2012-02-01,2012,2,SUCRE,Coveñas,0
