fecha,anio,mes_num,departamento,pasajeros_aereos_nacionales,n_municipios_nac
2012-01-01,2012,1,AMAZONAS,7236,4
2012-01-01,2012,1,ANTIOQUIA,158127,6
2012-01-01,2012,1,ARAUCA,4719,2
2012-01-01,2012,1,ATLANTICO,58333,1
2012-01-01,2012,1,BOGOTA D.C.,536767,1
2012-01-01,2012,1,BOLIVAR,86863,1
2012-01-01,2012,1,CALDAS,8595,1
2012-01-01,2012,1,CAQUETA,2294,3
2012-01-01,2012,1,CASANARE,13967,2
2012-01-01,2012,1,CAUCA,3780,2
2012-01-01,2012,1,CESAR,10915,1
2012-01-01,2012,1,CHOCO,12015,5
2012-01-01,2012,1,CORDOBA,23770,1
2012-01-01,2012,1,GUAINIA,1165,2
2012-01-01,2012,1,GUAVIARE,765,2
2012-01-01,2012,1,HUILA,10471,1
2012-01-01,2012,1,LA GUAJIRA,6882,3
2012-01-01,2012,1,MAGDALENA,45044,1
2012-01-01,2012,1,META,2980,2
2012-01-01,2012,1,NARINO,11577,3
2012-01-01,2012,1,NORTE DE SANTANDER,38166,1
2012-01-01,2012,1,PUTUMAYO,2136,3
2012-01-01,2012,1,QUINDIO,11756,1
2012-01-01,2012,1,RISARALDA,26510,1
2012-01-01,2012,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",36370,2
2012-01-01,2012,1,SANTANDER,53091,2
2012-01-01,2012,1,SIN ESPECIFICAR,0,1
2012-01-01,2012,1,SUCRE,2077,2
2012-01-01,2012,1,TOLIMA,5532,1
2012-01-01,2012,1,VALLE DEL CAUCA,90676,2
2012-01-01,2012,1,VAUPES,1293,3
2012-01-01,2012,1,VICHADA,1785,3
2012-02-01,2012,2,AMAZONAS,6076,4
2012-02-01,2012,2,ANTIOQUIA,151769,6
2012-02-01,2012,2,ARAUCA,4240,2
2012-02-01,2012,2,ATLANTICO,57422,1
2012-02-01,2012,2,BOGOTA D.C.,445473,1
2012-02-01,2012,2,BOLIVAR,73032,2
2012-02-01,2012,2,CALDAS,8881,1
2012-02-01,2012,2,CAQUETA,2795,3
2012-02-01,2012,2,CASANARE,14410,2
2012-02-01,2012,2,CAUCA,3674,2
2012-02-01,2012,2,CESAR,10239,1
2012-02-01,2012,2,CHOCO,9921,5
2012-02-01,2012,2,CORDOBA,21096,1
2012-02-01,2012,2,GUAINIA,1056,2
2012-02-01,2012,2,GUAVIARE,940,2
2012-02-01,2012,2,HUILA,11428,1
2012-02-01,2012,2,LA GUAJIRA,6635,3
2012-02-01,2012,2,MAGDALENA,36241,1
2012-02-01,2012,2,META,2854,2
2012-02-01,2012,2,NARINO,11236,3
2012-02-01,2012,2,NORTE DE SANTANDER,29647,1
2012-02-01,2012,2,PUTUMAYO,2291,3
2012-02-01,2012,2,QUINDIO,10876,1
2012-02-01,2012,2,RISARALDA,27468,1
2012-02-01,2012,2,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",27869,2
2012-02-01,2012,2,SANTANDER,53965,2
2012-02-01,2012,2,SIN ESPECIFICAR,0,1
2012-02-01,2012,2,SUCRE,1394,3
2012-02-01,2012,2,TOLIMA,6148,2
2012-02-01,2012,2,VALLE DEL CAUCA,91083,2
2012-02-01,2012,2,VAUPES,1060,4
2012-02-01,2012,2,VICHADA,1690,3
2012-03-01,2012,3,AMAZONAS,6237,4
2012-03-01,2012,3,ANTIOQUIA,167141,6
2012-03-01,2012,3,ARAUCA,4735,2
2012-03-01,2012,3,ATLANTICO,59489,1
2012-03-01,2012,3,BOGOTA D.C.,463181,1
2012-03-01,2012,3,BOLIVAR,76707,2
2012-03-01,2012,3,CALDAS,9987,1
2012-03-01,2012,3,CAQUETA,2960,3
2012-03-01,2012,3,CASANARE,14261,3
2012-03-01,2012,3,CAUCA,4163,2
2012-03-01,2012,3,CESAR,10456,2
2012-03-01,2012,3,CHOCO,11730,5
2012-03-01,2012,3,CORDOBA,22302,1
2012-03-01,2012,3,GUAINIA,1100,2
2012-03-01,2012,3,GUAVIARE,1128,2
2012-03-01,2012,3,HUILA,12742,1
2012-03-01,2012,3,LA GUAJIRA,8464,3
2012-03-01,2012,3,MAGDALENA,37704,1
2012-03-01,2012,3,META,3228,4
2012-03-01,2012,3,NARINO,11936,3
2012-03-01,2012,3,NORTE DE SANTANDER,31360,1
2012-03-01,2012,3,PUTUMAYO,2556,3
2012-03-01,2012,3,QUINDIO,11720,1
2012-03-01,2012,3,RISARALDA,28516,1
2012-03-01,2012,3,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",31300,2
2012-03-01,2012,3,SANTANDER,56182,2
2012-03-01,2012,3,SIN ESPECIFICAR,0,1
2012-03-01,2012,3,SUCRE,1576,3
2012-03-01,2012,3,TOLIMA,6791,2
2012-03-01,2012,3,VALLE DEL CAUCA,104552,2
2012-03-01,2012,3,VAUPES,1101,4
2012-03-01,2012,3,VICHADA,1857,3
2012-04-01,2012,4,AMAZONAS,6016,4
2012-04-01,2012,4,ANTIOQUIA,148618,6
2012-04-01,2012,4,ARAUCA,4374,3
2012-04-01,2012,4,ATLANTICO,56511,1
2012-04-01,2012,4,BOGOTA D.C.,431918,1
2012-04-01,2012,4,BOLIVAR,70550,1
2012-04-01,2012,4,CALDAS,7513,1
2012-04-01,2012,4,CAQUETA,2592,3
2012-04-01,2012,4,CASANARE,11985,2
2012-04-01,2012,4,CAUCA,3736,2
2012-04-01,2012,4,CESAR,11816,2
2012-04-01,2012,4,CHOCO,11779,5
2012-04-01,2012,4,CORDOBA,19537,1
2012-04-01,2012,4,GUAINIA,925,2
2012-04-01,2012,4,GUAVIARE,805,2
2012-04-01,2012,4,HUILA,10829,1
2012-04-01,2012,4,LA GUAJIRA,7650,3
2012-04-01,2012,4,MAGDALENA,34746,1
2012-04-01,2012,4,META,2515,2
2012-04-01,2012,4,NARINO,10823,3
2012-04-01,2012,4,NORTE DE SANTANDER,31539,1
2012-04-01,2012,4,PUTUMAYO,2529,3
2012-04-01,2012,4,QUINDIO,9923,1
2012-04-01,2012,4,RISARALDA,25960,1
2012-04-01,2012,4,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",28818,2
2012-04-01,2012,4,SANTANDER,50812,2
2012-04-01,2012,4,SIN ESPECIFICAR,18,1
2012-04-01,2012,4,SUCRE,1435,3
2012-04-01,2012,4,TOLIMA,5236,3
2012-04-01,2012,4,VALLE DEL CAUCA,94058,2
2012-04-01,2012,4,VAUPES,967,4
2012-04-01,2012,4,VICHADA,1570,3
2012-05-01,2012,5,AMAZONAS,5491,4
2012-05-01,2012,5,ANTIOQUIA,169344,6
2012-05-01,2012,5,ARAUCA,4480,3
