fecha,anio,mes_num,trimestre,semestre,departamento,visitantes_no_residentes,n_registros_origen,n_ciudades,n_paises_residencia,pasajeros_aereos_nacionales,n_municipios_nac,pasajeros_aereos_internacionales,prestadores_activos,rnt_municipios,categorias_rnt,capacidad_habitaciones,capacidad_camas,empleo_reportado_rnt,trm,ise,aereo_nacional_fuera_cobertura,aereo_internacional_fuera_cobertura,rnt_fuera_cobertura,objetivo_faltante,rnt_faltante,trm_faltante,ise_faltante
2015-01-01,2015,1,1,1,AMAZONAS,322.0,39.0,3.0,37.0,8543.0,4.0,8.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,ANTIOQUIA,9358.416,297.0,50.0,99.0,254062.0,5.0,57985.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,ARAUCA,16.0,8.0,3.0,8.0,5849.0,2.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,ATLANTICO,3024.0,105.0,11.0,68.0,89177.0,1.0,11286.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,BOGOTA D.C.,12633.006,139.0,1.0,139.0,714376.0,1.0,343029.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,BOLIVAR,7012.974,150.0,25.0,102.0,137836.0,1.0,22577.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,BOYACA,280.0,87.0,19.0,29.0,0.0,0.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CALDAS,653.0,90.0,17.0,48.0,7878.0,1.0,459.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CAQUETA,16.0,11.0,2.0,10.0,3193.0,3.0,10.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CASANARE,44.0,22.0,4.0,17.0,15523.0,2.0,20.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CAUCA,288.0,52.0,12.0,35.0,3824.0,2.0,96.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CESAR,155.0,38.0,7.0,27.0,12981.0,1.0,167.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CHOCO,149.0,39.0,9.0,26.0,14413.0,4.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CORDOBA,166.0,55.0,13.0,30.0,34740.0,2.0,290.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,CUNDINAMARCA,727.0,267.0,55.0,49.0,0.0,0.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,GUAINIA,3.0,2.0,1.0,2.0,1346.0,2.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,GUAVIARE,3.0,1.0,1.0,1.0,1286.0,2.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,HUILA,210.0,53.0,10.0,29.0,9739.0,1.0,155.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,LA GUAJIRA,136.0,58.0,8.0,31.0,9002.0,3.0,99.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,MAGDALENA,2147.0,83.0,9.0,56.0,63520.0,1.0,476.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,META,284.0,61.0,11.0,35.0,5102.0,2.0,29.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,NARINO,1376.0,96.0,18.0,46.0,16169.0,2.0,253.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,NORTE DE SANTANDER,1806.0,82.0,13.0,53.0,47836.0,1.0,3323.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,PUTUMAYO,57.0,23.0,8.0,15.0,3544.0,3.0,0.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,QUINDIO,578.0,75.0,9.0,41.0,13466.0,1.0,2450.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,RISARALDA,1302.0,100.0,9.0,56.0,48496.0,1.0,7535.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,"SAN ANDRES, PROVIDENCIA Y SANTA CATALINA",3784.024,59.0,2.0,43.0,59164.0,2.0,4494.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
2015-01-01,2015,1,1,1,SANTANDER,1275.0,150.0,19.0,57.0,70914.0,2.0,4423.0,,,,,,,2397.2580645161293,98.8113352418538,False,False,True,False,True,False,False
