fecha,fecha_predicha,departamento,target,prediccion,error,error_abs,horizonte,meses_horizonte
2024-01-01,2025-01-01,AMAZONAS,666.0,678.9035,-12.90350341796875,12.90350341796875,h12,12
2024-02-01,2025-02-01,AMAZONAS,683.0,714.1396,-31.13958740234375,31.13958740234375,h12,12
2024-03-01,2025-03-01,AMAZONAS,489.0,719.8837,-230.88372802734375,230.88372802734375,h12,12
2024-04-01,2025-04-01,AMAZONAS,638.0,606.85565,31.14434814453125,31.14434814453125,h12,12
2024-05-01,2025-05-01,AMAZONAS,656.0,825.4491,-169.4490966796875,169.4490966796875,h12,12
2024-06-01,2025-06-01,AMAZONAS,645.0,610.9662,34.0338134765625,34.0338134765625,h12,12
2024-07-01,2025-07-01,AMAZONAS,1196.0,1005.4783,190.521728515625,190.521728515625,h12,12
2024-08-01,2025-08-01,AMAZONAS,902.0,596.23,305.77001953125,305.77001953125,h12,12
2024-09-01,2025-09-01,AMAZONAS,523.0,620.55884,-97.558837890625,97.558837890625,h12,12
2024-01-01,2025-01-01,ANTIOQUIA,14004.848,16075.475,-2070.626609375,2070.626609375,h12,12
2024-02-01,2025-02-01,ANTIOQUIA,13308.706,15717.815,-2409.1094296875,2409.1094296875,h12,12
2024-03-01,2025-03-01,ANTIOQUIA,14763.29,15855.774,-1092.4844140624991,1092.4844140624991,h12,12
2024-04-01,2025-04-01,ANTIOQUIA,13055.229,16654.22,-3598.9917031250006,3598.9917031250006,h12,12
2024-05-01,2025-05-01,ANTIOQUIA,15429.355,16804.352,-1374.9965625000004,1374.9965625000004,h12,12
2024-06-01,2025-06-01,ANTIOQUIA,15162.51,16806.938,-1644.4274999999998,1644.4274999999998,h12,12
2024-07-01,2025-07-01,ANTIOQUIA,17020.406,17424.18,-403.77368750000096,403.77368750000096,h12,12
2024-08-01,2025-08-01,ANTIOQUIA,13670.263,16908.74,-3238.477234374999,3238.477234374999,h12,12
2024-09-01,2025-09-01,ANTIOQUIA,12567.304,16366.152,-3798.84834375,3798.84834375,h12,12
2024-01-01,2025-01-01,ARAUCA,102.0,111.19198,-9.191978454589844,9.191978454589844,h12,12
2024-02-01,2025-02-01,ARAUCA,107.0,120.99433,-13.994331359863281,13.994331359863281,h12,12
2024-03-01,2025-03-01,ARAUCA,85.0,132.51833,-47.51832580566406,47.51832580566406,h12,12
2024-04-01,2025-04-01,ARAUCA,95.0,124.93464,-29.93463897705078,29.93463897705078,h12,12
2024-05-01,2025-05-01,ARAUCA,63.0,133.35753,-70.35752868652344,70.35752868652344,h12,12
2024-06-01,2025-06-01,ARAUCA,80.0,122.77867,-42.77867126464844,42.77867126464844,h12,12
2024-07-01,2025-07-01,ARAUCA,78.0,145.98357,-67.98356628417969,67.98356628417969,h12,12
2024-08-01,2025-08-01,ARAUCA,85.0,128.0652,-43.06520080566406,43.06520080566406,h12,12
2024-09-01,2025-09-01,ARAUCA,86.0,140.5266,-54.52659606933594,54.52659606933594,h12,12
2024-01-01,2025-01-01,ATLANTICO,4712.804,5965.899,-1253.09492578125,1253.09492578125,h12,12
2024-02-01,2025-02-01,ATLANTICO,5991.48,6069.735,-78.25486328125044,78.25486328125044,h12,12
2024-03-01,2025-03-01,ATLANTICO,4713.423,6107.613,-1394.1897929687502,1394.1897929687502,h12,12
2024-04-01,2025-04-01,ATLANTICO,3902.756,5907.4834,-2004.7273984375001,2004.7273984375001,h12,12
2024-05-01,2025-05-01,ATLANTICO,3674.134,5813.484,-2139.34988671875,2139.34988671875,h12,12
2024-06-01,2025-06-01,ATLANTICO,4930.079,5939.671,-1009.5918984375003,1009.5918984375003,h12,12
2024-07-01,2025-07-01,ATLANTICO,4840.081,5777.3716,-937.2905820312499,937.2905820312499,h12,12
2024-08-01,2025-08-01,ATLANTICO,5148.363,5652.0166,-503.6536015624997,503.6536015624997,h12,12
2024-09-01,2025-09-01,ATLANTICO,3984.588,6064.697,-2080.10877734375,2080.10877734375,h12,12
2024-01-01,2025-01-01,BOGOTA D.C.,14630.587,12748.325,1882.2618046874995,1882.2618046874995,h12,12
2024-02-01,2025-02-01,BOGOTA D.C.,13839.518,12810.197,1029.320734375,1029.320734375,h12,12
2024-03-01,2025-03-01,BOGOTA D.C.,14612.969,12434.4375,2178.531499999999,2178.531499999999,h12,12
2024-04-01,2025-04-01,BOGOTA D.C.,12898.67,12278.549,620.1211718750001,620.1211718750001,h12,12
2024-05-01,2025-05-01,BOGOTA D.C.,12805.82,12171.21,634.6100390624997,634.6100390624997,h12,12
2024-06-01,2025-06-01,BOGOTA D.C.,12749.195,12160.425,588.7701953124997,588.7701953124997,h12,12
2024-07-01,2025-07-01,BOGOTA D.C.,13926.205,12383.423,1542.7821484375,1542.7821484375,h12,12
2024-08-01,2025-08-01,BOGOTA D.C.,13697.02,12827.909,869.1108203125004,869.1108203125004,h12,12
2024-09-01,2025-09-01,BOGOTA D.C.,12840.289,12438.97,401.31927343750067,401.31927343750067,h12,12
2024-01-01,2025-01-01,BOLIVAR,12123.907,11060.775,1063.1316093749992,1063.1316093749992,h12,12
2024-02-01,2025-02-01,BOLIVAR,11315.376,10539.82,775.5556875000002,775.5556875000002,h12,12
2024-03-01,2025-03-01,BOLIVAR,11889.379,11470.626,418.7530234375008,418.7530234375008,h12,12
2024-04-01,2025-04-01,BOLIVAR,8128.382,11056.146,-2927.7644843750004,2927.7644843750004,h12,12
2024-05-01,2025-05-01,BOLIVAR,9072.283,10804.811,-1732.5275468750006,1732.5275468750006,h12,12
2024-06-01,2025-06-01,BOLIVAR,9633.944,11583.116,-1949.1722109375005,1949.1722109375005,h12,12
2024-07-01,2025-07-01,BOLIVAR,7547.281,11439.41,-3892.12915625,3892.12915625,h12,12
2024-08-01,2025-08-01,BOLIVAR,8433.849,10960.943,-2527.094359375,2527.094359375,h12,12
2024-09-01,2025-09-01,BOLIVAR,8240.879,11492.116,-3251.237210937499,3251.237210937499,h12,12
2024-01-01,2025-01-01,BOYACA,787.0,988.0347,-201.03472900390625,201.03472900390625,h12,12
2024-02-01,2025-02-01,BOYACA,788.0,916.7047,-128.7047119140625,128.7047119140625,h12,12
2024-03-01,2025-03-01,BOYACA,646.0,976.0582,-330.0582275390625,330.0582275390625,h12,12
2024-04-01,2025-04-01,BOYACA,634.0,982.6784,-348.67840576171875,348.67840576171875,h12,12
